,qid,question,options,answer,correct_option,format,rule,response_option
10,211,A motorcyclist after road traffic accident is having raised aerial pCO2 on ABG. Probable cause can be:,"{'0': 'Damage to respiratory apparatus', '1': 'Damage to respiratory centre', '2': 'Damage to both respiratory apparatus and respiratory centre', '3': 'Massive lung contusion alone'}",Damage to both respiratory apparatus and respiratory centre,2,"```json
{
    option: 1,
    {
        'conversion_rule': 'Rule1',
        'value': {
            'A': 'Damage to respiratory centre',
            'R5': 'results in',
            'B': 'raised arterial pCO2'
        },
        'reasoning': ""In the context of a motorcyclist with raised arterial pCO2 following a road traffic accident, damage to the respiratory center is a probable cause. The respiratory center in the brainstem controls the rate and depth of breathing. Damage to this area can impair respiratory drive, leading to hypoventilation and subsequent retention of carbon dioxide, resulting in elevated arterial pCO2 levels. Therefore, 'Damage to respiratory centre' (A) 'results in' (R5) 'raised arterial pCO2' (B).""
    },
}
```",Rule1,1
11,234,"A 50-year-old man comes to the physician because of swelling of his legs for 2 months. Three months ago, he was diagnosed with hypertension and started on a new medication. His blood pressure is 145/95 mm Hg. Physical examination shows 2+ edema in both lower extremities. Laboratory studies are within the reference ranges. This patient was most likely treated with which of the following drugs?","{'0': 'Losartan', '1': 'Spironolactone', '2': 'Hydrochlorothiazide', '3': 'Amlodipine'}",Amlodipine,3,"```json
{
    option: 3,
    {
        'conversion_rule': 'Rule2',
        'value': {
            'A': 'Amlodipine',
            'R4': 'affects',
            'B': 'peripheral vasodilation',
            'R3': 'leads to',
            'C': 'lower extremity edema'
        },
        'reasoning': ""Amlodipine is a calcium channel blocker that causes peripheral vasodilation, which can lead to fluid retention and edema, particularly in the lower extremities. In this scenario, the patient's recent onset of leg swelling after starting a new hypertension medication suggests a side effect of amlodipine. Therefore, 'Amlodipine' (A) 'affects' (R4) 'peripheral vasodilation' (B), which 'leads to' (R3) 'lower extremity edema' (C).""
    },
}
```",Rule2,3
12,245,"A 4-year-old boy is referred to the transfusion clinic with malaise, fever, bilateral conjunctivitis, erythema of the oral mucosa, macular rash of the trunk, and inguinal lymphadenopathy following several days of loose stool. The boy was born at 39 weeks gestation via spontaneous vaginal delivery. He is up to date on all vaccines and is meeting all developmental milestones. Kawasaki’s disease is suspected and therapy with intravenous immunoglobulin and aspirin is initiated. Later that day, the patient develops trouble breathing, facial flushing, and rapidly evolving pruritic abdominal rash. He is rushed to the emergency department where his blood pressure is 85/48 mm Hg, heart rate is 120/min, respiratory rate is 26/min, and temperature is 37.0°C (98.6°F). On physical examination, the patient has severe facial edema and severe stridor, which can be heard without a stethoscope. A complete blood count is normal. Of the following options, which underlying condition could cause this reaction?","{'0': ""Bruton's agammaglobulinemia"", '1': 'IgA deficiency', '2': 'Hyper-IgM syndrome', '3': 'Hyper-IgD syndrome', 'correct answer': ""Bruton's agammaglobulinemia""}",IgA deficiency,1,"```json
{
    option: 1,
    {
        'conversion_rule': 'Rule1',
        'value': {
            'A': 'IgA deficiency',
            'R11': 'increase the risk of',
            'B': 'anaphylactic reaction to intravenous immunoglobulin'
        },
        'reasoning': ""The clinical presentation suggests an anaphylactic reaction following the administration of intravenous immunoglobulin (IVIG). In patients with IgA deficiency, there is an increased risk of developing anaphylactic reactions to blood products containing IgA, such as IVIG, due to the presence of anti-IgA antibodies. Therefore, 'IgA deficiency' (A) 'increases the risk of' (R11) 'anaphylactic reaction to intravenous immunoglobulin' (B).""
    },
}
```",Rule1,1
13,252,Which of the following is associated with defective apoptosis and increased cell survival,"{'0': 'Neuro degenerative diseases', '1': 'Auto immune disorders', '2': 'Myocardial infarction', '3': 'Stroke'}",Auto immune disorders,1,"```json
{
    option: 1,
    {
        'conversion_rule': 'Rule1',
        'value': {
            'A': 'Defective apoptosis',
            'R10': 'associated with',
            'B': 'autoimmune disorders'
        },
        'reasoning': ""Defective apoptosis leads to increased cell survival, which can result in the persistence of autoreactive cells that should normally be eliminated. This is associated with the development of autoimmune disorders, where the immune system mistakenly attacks the body's own tissues. Therefore, 'defective apoptosis' (A) is 'associated with' (R10) 'autoimmune disorders' (B).""
    },
}
```",Rule1,1
14,253,"A 54-year-old man is brought to the emergency department after he was found outside in the middle of a blizzard. On presentation, he is conscious but does not know where he is nor how he got there. His wife is contacted and says that he has been getting increasingly confused over the past 6 weeks. This progressed from misplacing objects to getting lost in places that he knew how to navigate previously. Most worryingly, he has recently started forgetting the names of their children. In addition to these memory changes, she says that he now has rapid jerky movements of his extremities as well as coordination and balance problems. Finally, he has become extremely paranoid about government surveillance and has had hallucinations about secret agents in their house. His previous medical history is significant for a previous car crash in which the patient required internal fixation of a femur fracture and a corneal transplant for corneal degeneration. Otherwise he had no neurologic deficits prior to 6 weeks ago. Physical exam reveals myoclonus and ataxia. Which of the following is true of the most likely cause of this patient's symptoms?","{'0': 'Can be transmitted on medical equipment even after autoclaving instruments', '1': 'Contains genetic material but is unable to survive independent from a host', '2': 'Has a cell wall containing peptidoglycan', '3': 'Leads to intracellular aggregations of hyperphosphorylated tau protein'}",Can be transmitted on medical equipment even after autoclaving instruments,0,"```json
{
    option: 0,
    {
        'conversion_rule': 'Rule1',
        'value': {
            'A': 'Prion disease',
            'R1': 'cause',
            'B': 'transmission on medical equipment even after autoclaving instruments'
        },
        'reasoning': ""The symptoms and rapid progression of cognitive decline, myoclonus, and ataxia in this patient suggest Creutzfeldt-Jakob disease (CJD), a prion disease. Prions are infectious proteins that can be transmitted via contaminated medical equipment, even after standard sterilization procedures like autoclaving. Therefore, the correct statement about the most likely cause (prion disease) is that it can be transmitted on medical equipment even after autoclaving.""
    },
}
```",Rule1,0
15,309,"A ligamental injection of 2% lidocaine with 1:10,000 epinephrine will cause the pulp circulation to:","{'0': 'Cease for about 30 minutes', '1': 'Remain the same', '2': 'Increase markedly', '3': 'Decrease slightly'}",Cease for about 30 minutes,0,"```json
{
    option: 3,
    {
        'conversion_rule': 'Rule1',
        'value': {
            'A': 'Ligamental injection of 2% lidocaine with 1:10,000 epinephrine',
            'R4': 'affects',
            'B': 'pulp circulation decreases slightly'
        },
        'reasoning': ""The injection of lidocaine with epinephrine causes vasoconstriction, which reduces blood flow. In the context of dental procedures, this vasoconstriction leads to a slight decrease in pulp circulation. Therefore, the correct option is that the pulp circulation 'decreases slightly'.""
    },
}
```",Rule1,3
16,322,Traumatic optic neuropathy due to closed head trauma commonly affects which pa of optic nerve -,"{'0': 'Optic canal', '1': 'Intra ocular pa', '2': 'Intracranial pa', '3': 'Optic tract'}",Optic canal,0,"```json
{
    option: 0,
    {
        'conversion_rule': 'Rule1',
        'value': {
            'A': 'Traumatic optic neuropathy due to closed head trauma',
            'R4': 'affects',
            'B': 'Optic canal'
        },
        'reasoning': ""Traumatic optic neuropathy is often associated with closed head trauma, and it typically affects the optic nerve at the optic canal. This is because the optic canal is a narrow passage through which the optic nerve travels, making it susceptible to injury from trauma. Therefore, 'Traumatic optic neuropathy due to closed head trauma' (A) 'affects' (R4) the 'Optic canal' (B).""
    },
}
```",Rule1,0
17,326,Which of the following is the most common cause of lower body paralysis caused by brain lesions (cerebral paraplegia)?,"{'0': 'Anterior cerebral artery infarction stroke (stroke)', '1': 'Carbon monoxide poisoning encephalopathy (encephalopathy)', '2': 'Meningitis (meningoencephalitis)', '3': 'Falx meningioma (falx meningioma)'}",Falx meningioma (falx meningioma),3,"```
{
    option: 0,
    {
        'conversion_rule': 'Rule1',
        'value': {
            'A': 'Anterior cerebral artery infarction stroke',
            'R1': 'cause',
            'B': 'lower body paralysis caused by brain lesions'
        },
        'reasoning': ""Anterior cerebral artery infarction stroke is known to affect the areas of the brain responsible for motor control of the lower limbs, leading to paralysis. Therefore, it is a common cause of lower body paralysis due to brain lesions.""
    },
    option: 1,
    {
        'conversion_rule': 'Rule1',
        'value': {
            'A': 'Carbon monoxide poisoning encephalopathy',
            'R1': 'cause',
            'B': 'lower body paralysis caused by brain lesions'
        },
        'reasoning': ""Carbon monoxide poisoning can lead to encephalopathy, which may affect various parts of the brain, potentially leading to paralysis. However, it is not the most common cause of lower body paralysis due to brain lesions.""
    },
    option: 2,
    {
        'conversion_rule': 'Rule1',
        'value': {
            'A': 'Meningitis',
            'R1': 'cause',
            'B': 'lower body paralysis caused by brain lesions'
        },
        'reasoning': ""Meningitis can cause inflammation of the brain and spinal cord, potentially leading to paralysis. However, it is not the most common cause of lower body paralysis due to brain lesions.""
    },
    option: 3,
    {
        'conversion_rule': 'Rule1',
        'value': {
            'A': 'Falx meningioma',
            'R1': 'cause',
            'B': 'lower body paralysis caused by brain lesions'
        },
        'reasoning': ""Falx meningioma can compress areas of the brain responsible for motor control, potentially leading to paralysis. However, it is not the most common cause of lower body paralysis due to brain lesions.""
    },
}
```",Rule1,0
18,334,"A 62-year-old woman with small-cell lung cancer comes to the physician because of a painful, burning red rash on her face and hands that developed 30 minutes after going outside to do garden work. She wore a long-sleeved shirt and was exposed to direct sunlight for about 10 minutes. The patient is light-skinned and has a history of occasional sunburns when she does not apply sunscreen. Current medications include demeclocycline for malignancy-associated hyponatremia and amoxicillin for sinusitis. Physical examination shows prominent erythema and a papular eruption on her forehead, cheeks, neck, and the dorsum of both hands. Which of the following is the most likely cause of this patient's symptoms?","{'0': 'Degranulation of presensitized mast cells', '1': 'Formation of drug-induced autoantibodies', '2': 'Accumulation of porphobilinogen', '3': 'Cell injury due to drug metabolites'}",Cell injury due to drug metabolites,3,"```json
{
    option: 3,
    {
        'conversion_rule': 'Rule2',
        'value': {
            'A': 'Demeclocycline use',
            'R11': 'increase the risk of',
            'B': 'photosensitivity reaction',
            'R1': 'cause',
            'C': 'painful, burning red rash on face and hands after sun exposure'
        },
        'reasoning': ""The patient is taking demeclocycline, which is known to cause photosensitivity reactions. This condition is characterized by an exaggerated skin response to sunlight, leading to symptoms such as a painful, burning red rash. The temporal relationship between sun exposure and rash development, along with the use of demeclocycline, suggests that the drug increases the risk of photosensitivity reactions, which in turn cause the observed symptoms. Therefore, 'Demeclocycline use' (A) 'increases the risk of' (R11) a 'photosensitivity reaction' (B), which 'causes' (R1) the 'painful, burning red rash on face and hands after sun exposure' (C).""
    }
}
```",Rule2,3
19,348,Which of the following therapies for depression is based on the basic idea that patients present significant difficulties in recognizing the connection between their behavior and its consequences in the interpersonal context ?:,"{'0': 'Behavioral Cognitive Analysis System of Psychotherapy.', '1': 'Interpersonal therapy', '2': 'Psychodynamic psychotherapy.', '3': 'Brief psychotherapy.'}",Behavioral Cognitive Analysis System of Psychotherapy.,0,"```json
{
    option: 0,
    {
        'conversion_rule': 'Rule1',
        'value': {
            'A': 'Behavioral Cognitive Analysis System of Psychotherapy',
            'R3': 'leads to',
            'B': 'recognizing the connection between behavior and its consequences in the interpersonal context'
        },
        'reasoning': ""The question asks which therapy for depression is based on the idea that patients have difficulty recognizing the connection between their behavior and its consequences in interpersonal contexts. Behavioral Cognitive Analysis System of Psychotherapy (BCASP) is specifically designed to address these issues by helping patients understand and change the patterns of behavior that lead to negative consequences in their interpersonal relationships. Therefore, BCASP (A) leads to (R3) recognizing the connection between behavior and its consequences in the interpersonal context (B).""
    }
}
```",Rule1,0
20,413,"Dr. Lin is the clinic director of H-Town, he's Sidney Kark based on community-oriented primary care (community-oriented primary care) for H-Town's youth smoking prevention; survey found that H-Town's youth smoking begins when the kingdom. After consultation with representatives of the townspeople, choose a country for the pilot objects; Dr. Lin next step Why?","{'0': 'Define the scope of the community', '1': 'Use epidemiological methods to find health problems', '2': 'Develop solutions to health problems', '3': 'Invite the community to participate in assessment'}",Develop solutions to health problems,2,"```json
{
    option: 0,
    {
        'conversion_rule': 'Rule1',
        'value': {
            'A': 'Choosing a country for pilot objects',
            'R5': 'results in',
            'B': 'defining the scope of the community'
        },
        'reasoning': ""After selecting a country for the pilot project, the next logical step is to define the scope of the community to ensure that the project is appropriately tailored to the specific needs and characteristics of the community. Therefore, 'choosing a country for pilot objects' (A) 'results in' (R5) 'defining the scope of the community' (B).""
    },
    option: 1,
    {
        'conversion_rule': 'Rule1',
        'value': {
            'A': 'Choosing a country for pilot objects',
            'R5': 'results in',
            'B': 'using epidemiological methods to find health problems'
        },
        'reasoning': ""Once a country is chosen for pilot objects, the next step is to identify the specific health problems within that community. This involves using epidemiological methods to gather data and assess the health issues that need to be addressed. Therefore, 'choosing a country for pilot objects' (A) 'results in' (R5) 'using epidemiological methods to find health problems' (B).""
    },
    option: 2,
    {
        'conversion_rule': 'Rule1',
        'value': {
            'A': 'Choosing a country for pilot objects',
            'R5': 'results in',
            'B': 'developing solutions to health problems'
        },
        'reasoning': ""After selecting a country for the pilot project, the next step is to develop solutions to the identified health problems. This involves creating strategies and interventions to address the issues found through the initial assessment. Therefore, 'choosing a country for pilot objects' (A) 'results in' (R5) 'developing solutions to health problems' (B).""
    },
    option: 3,
    {
        'conversion_rule': 'Rule1',
        'value': {
            'A': 'Choosing a country for pilot objects',
            'R5': 'results in',
            'B': 'inviting the community to participate in assessment'
        },
        'reasoning': ""Once a country is chosen for the pilot project, it is crucial to involve the community in the assessment process. This ensures that the interventions are community-oriented and have the support and input of the people who will be affected. Therefore, 'choosing a country for pilot objects' (A) 'results in' (R5) 'inviting the community to participate in assessment' (B).""
    }
}
```",Rule1,0
