,qid,question,options,answer,correct_option,format,rule,response_option
10,15837,Which of the following does not belong to the acute effects of insulin in a few seconds will produce?,"{'0': 'Protein synthesis stimulating insulin sensitive cells', '1': 'Increase the sensitivity of cells to insulin absorption of glucose', '2': 'Increase the insulin sensitivity of potassium ions into the cell', '3': 'Increased insulin sensitivity of cells amino acid absorption'}",Protein synthesis stimulating insulin sensitive cells,0,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Insulin', 'R3': 'leads to', 'B': 'Protein synthesis stimulating insulin sensitive cells'},
    },
}
```",Rule1,0
11,15978,"A 43-year-old man comes to the physician because of redness and swelling of his right leg. He reports that it is very painful to touch. He has had fever and chills. He has no chest pain or shortness of breath. He has a history of type 2 diabetes mellitus and underwent saphenous vein stripping and ligation in his right leg 3 years ago. He works as a security guard. He does not smoke or drink alcohol. His medications include metformin and sitagliptin. His temperature is 38.7°C (101.7°F), pulse is 99/min, and blood pressure is 138/72 mm Hg. Examination shows an 8-cm, indurated, tender, warm, erythematous skin lesion with sharply demarcated margins. There is no inguinal lymphadenopathy. Toe web intertrigo is noted. Which of the following is the most appropriate next step in management?","{'0': 'Oral cephalexin therapy', '1': 'Intravenous cefazolin therapy', '2': 'Intravenous ciprofloxacin therapy', '3': 'Subcutaneous heparin injection'}",Intravenous cefazolin therapy,1,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'redness and swelling of the right leg with fever and chills', 'R3': 'leads to', 'B': 'need for intravenous cefazolin therapy'},
    },
}
```",Rule1,1
12,15991,"A 78-year-old man is brought to the emergency department because of a 1-day history of painful enlarging bruises and skin ulceration over his thighs and external genitalia. He has type 2 diabetes mellitus, mitral regurgitation, and atrial fibrillation. Three days ago, he was started on treatment with warfarin. His only other medications are metformin and lisinopril. His temperature is 37.8°C (100.0°F), pulse is 108/min and irregularly irregular, and blood pressure is 155/89 mm Hg. Examination of the skin shows large purpura, hemorrhagic bullae, and areas of skin necrosis over his anterior legs, gluteal region, and penis. This patient is most likely to benefit from treatment with which of the following?","{'0': 'Hyperbaric oxygen', '1': 'Protein C concentrate', '2': 'Argatroban', '3': 'Tranexamic acid'}",Protein C concentrate,1,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Warfarin', 'R3': 'leads to', 'B': 'Protein C deficiency'},
    },
}
```",Rule1,1
13,16002,Effect of hypoparathyroidisrn on bones include -,"{'0': 'Brown tumours', '1': 'Subperiosteal Resorption of Bone', '2': 'Multiple Cysts in Bone', '3': 'NoneoftheAbove'}",NoneoftheAbove,3,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Hypoparathyroidism', 'R3': 'leads to', 'B': 'Subperiosteal Resorption of Bone'},
    },
}
```",Rule1,1
14,16015,The cause of endoscopic esophageal rupture to the esophagus in the vicinity of where the most common?,"{'0': 'GE junction', '1': 'thoracic inlet area', '2': 'cricopharyngeal area', '3': 'aortic arch area'}",cricopharyngeal area,2,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'endoscopic esophageal rupture', 'R3': 'leads to', 'B': 'GE junction'},
    },
}
```",Rule1,0
15,16038,Moality associated with emergency abdominal aoic surgery is:,"{'0': '10%', '1': '20%', '2': '40%', '3': '>50%'}",40%,2,"```json
{
    'option': 3,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'emergency abdominal aortic surgery', 'R10': 'associated with', 'B': 'mortality >50%'},
    },
}
```",Rule1,3
16,16059,"A 70-year-old man is brought to the emergency department by staff of the group home where he resides because of fever, a productive cough, and blood-tinged sputum for 2 days. The staff report that he developed myalgia, headache, and rhinorrhea 7 days ago, which improved initially before worsening again. He has hypertension and Alzheimer disease. Current medications include enalapril and donepezil. On arrival, he is obtunded. His temperature is 39.8°C (103.6°F), pulse is 120/min, respirations are 22/min and shallow, and blood pressure is 100/60 mm Hg. Pulse oximetry on 10 L/min of oxygen via nasal cannula shows an oxygen saturation of 92%. Examination shows scattered crackles and rhonchi throughout both lung fields. An x-ray of the chest shows bilateral lung opacities and multiple small, thin-walled cystic spaces within the basal pulmonary parenchyma. Which of the following is the most likely cause of this patient’s current condition?","{'0': 'Infection with Staphylococcus aureus', '1': 'Infection with Aspergillus fumigatus', '2': 'Foreign body aspiration', '3': 'Granulomatosis with polyangiitis'}",Infection with Staphylococcus aureus,0,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Infection with Staphylococcus aureus', 'R3': 'leads to', 'B': 'this patient’s current condition'},
    },
}
```",Rule1,0
17,16071,What is the consequence of a high apparent volume of distribution of a drug?,"{'0': 'Lower concentration in plasma.', '1': 'Greater elimination speed.', '2': 'Greater pharmacological effect.', '3': 'Greater binding to plasma proteins.'}",Greater binding to plasma proteins.,3,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'High apparent volume of distribution', 'R3': 'leads to', 'B': 'Lower concentration in plasma'},
    },
}
```",Rule1,0
18,16085,"Related to the need for food in people who have suffered neurological problems, point out the INCORRECT response:","{'0': 'It is convenient to mix solid foods with liquids to facilitate swallowing.', '1': 'Distracting elements should be avoided during feeding.', '2': 'The person must maintain an upright posture, seated and with slight anterior flexion of the neck.', '3': 'An adequate oral hygiene should be carried out after the ingestion.'}",It is convenient to mix solid foods with liquids to facilitate swallowing.,0,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'mixing solid foods with liquids', 'R3': 'leads to', 'B': 'facilitating swallowing'},
    },
}
```",Rule1,0
19,16097,"16 month-old boy, after a bowel movement because of sudden shortness of breath, cyanosis intensified and sent to the emergency room. I.e., this conventional child found cyanosis and heart murmur, chest X-ray which showed reduced pulmonary vascular, heart shaped like ""boots"" (boot-shaped). Which of the following handle more inappropriate?","{'0': 'The child immediately set Baoxiong knee (knee-chest) posture, and given oxygen', '1': 'Administration of sodium bicarbonate (NaHC03) to correct acidosis', '2': 'Avoid children restless and consumed more oxygen, giving benzodiazepam calm', '3': 'Given intravenously propranolol, slow contraction of pulmonary artery funnel (infundibulum) of'}","Avoid children restless and consumed more oxygen, giving benzodiazepam calm",2,"```json
{
    ""option"": 3,
    {
        ""conversion_rule"": ""Rule1"",
        ""value"": {""A"": ""Propranolol"", ""R3"": ""leads to"", ""B"": ""slow contraction of pulmonary artery funnel""},
    },
}
```",Rule1,3
20,16165,clostridium difficile diarrhoea associated with:,"{'0': 'Aminopenicillins', '1': 'Carbapenems', '2': 'Macrolide', '3': 'Fluoroquinolones'}",Fluoroquinolones,3,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Clostridium difficile diarrhoea', 'R10': 'associated with', 'B': 'Aminopenicillins'},
    },
}
```",Rule1,0
21,16212,A 40 years old male with history of fall and one episode of vomiting near an alcohol shop. He was brought to casualty and he was awake with open eyes and had retrograde amnesia. Which of the following is most likely cause?,"{'0': 'Diffuse axonal injury', '1': 'Concussion', '2': 'Drunkenness', '3': 'Cerebral venous thrombosis'}",Concussion,1,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'fall', 'R3': 'leads to', 'B': 'concussion'},
    },
}
```",Rule1,1
22,16215,"A 9-year-old boy comes to the physician because of pain with swallowing and a burning sensation in his mouth for the past 10 days. Over the past 3 weeks, he has had increasing fatigue and runs out of breath easily. His father had gallstones, for which he underwent a cholecystectomy at the age of 30 years. The boy appears weak and lethargic. His temperature is 37.7°C (99.8°F), blood pressure is 110/68 mm Hg, pulse is 105/min, and respirations are 28/min. Examination shows pallor of the mucosal membranes, mild scleral icterus, and a swollen, red tongue. His spleen is enlarged and palpable 2–3 cm below the left costal margin. A complete blood cell count shows a hemoglobin concentration of 9.8 g/dL, mean corpuscular volume of 102 μm3, and a reticulocyte count of 0.4%. His peripheral blood smear shows erythrocytes without central pallor. Which of the following could have prevented this patient's chief complaints?","{'0': 'Folic acid supplementation', '1': 'Cholecystectomy', '2': 'Gluten-free diet', '3': 'Vitamin B12 injections'}",Folic acid supplementation,0,"```json
{
    'option': 3,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Vitamin B12 deficiency', 'R8': 'prevented by', 'B': 'Vitamin B12 injections'},
    },
}
```",Rule1,3
23,16216,"A 70-year-old male, because aspiration pneumonia caused by respiratory failure receiving respirator treatment, is due to improve the physical condition, consider weaning. The following results can be predicted that the high failure rate out of its respirator?","{'0': 'Blood pressure 120/80 mmHg', '1': 'The maximum inspiratory pressure (Maximal inspiratory pressure) is -30 cmH2O', '2': 'Arterial blood pH 7.35-7.40', '3': 'RR（Respiratory rate）30/min 且 tidal volume 200 mL'}",RR（Respiratory rate）30/min 且 tidal volume 200 mL,3,"```json
{
    'option': 3,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'High respiratory rate and low tidal volume', 'R11': 'increase the risk of', 'B': 'high failure rate of weaning from respirator'},
    },
}
```",Rule1,3
24,16217,Which of the following polyhedra does NOT result in an eight coordination number ?:,"{'0': 'Cube.', '1': 'Square antiprism', '2': 'Dodecahedron with triangular faces.', '3': 'Icosahedron'}",Icosahedron,3,"```json
{
    'option': 3,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Icosahedron', 'R5': 'results in', 'B': 'eight coordination number'},
    },
}
```",Rule1,3
25,16277,"A 58-year-old woman presents to her family physician for an annual checkup. During the visit, the patient asks her physician for help quitting smoking cigarettes. She has unsuccessfully tried quitting several times previously and has also failed prior attempts with meditation and exercise. The physician prescribes a partial agonist of the nicotinic receptor to aid the patient in cessation. Which of the following is a potential side effect of this medication?","{'0': 'Seizure', '1': 'Sexual dysfunction', '2': 'Suicidal ideation', '3': 'Tachycardia'}",Suicidal ideation,2,"```json
{
    'option': 2,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'partial agonist of the nicotinic receptor', 'R3': 'leads to', 'B': 'Suicidal ideation'},
    },
}
```",Rule1,2
26,16293,"If the volume of distribution of a drug is <5L, then the drug is restricted to which of the following body compartments?","{'0': 'Extracellular space', '1': 'Total body water', '2': 'Vascular', '3': 'Intracellular'}",Vascular,2,"```json
{
    'option': 2,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Volume of distribution <5L', 'R3': 'leads to', 'B': 'Drug restricted to vascular compartment'},
    },
}
```",Rule1,2
27,16325,"A 67-year-old woman with depression comes to the physician because of easy bruising and bleeding of her gums for the past 2 months. She has been living alone since the death of her husband 1 year ago. She appears thin and has temporal wasting bilaterally. Physical examination shows bruises on her lower legs, swollen gums, and petechiae on the hard palate. This patient's symptoms are most likely due to defective synthesis of a substance that is composed primarily of which of the following amino acids?","{'0': 'Glycine', '1': 'Proline', '2': 'Lysine', '3': 'Arginine'}",Glycine,0,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Defective synthesis of collagen', 'R3': 'leads to', 'B': 'Symptoms of easy bruising and bleeding gums'},
    },
}
```",Rule1,1
28,16380,"A 67-year-old woman comes to the physician because of a 5-day history of episodic abdominal pain, nausea, and vomiting. She has coronary artery disease and type 2 diabetes mellitus. She takes aspirin, metoprolol, and metformin. She is 163 cm (5 ft 4 in) tall and weighs 91 kg (200 lb); her BMI is 34 kg/m2. Her temperature is 38.1°C (100.6°F). Physical examination shows dry mucous membranes, abdominal distension, and hyperactive bowel sounds. Ultrasonography of the abdomen shows air in the biliary tract. This patient's symptoms are most likely caused by obstruction at which of the following locations?","{'0': 'Third part of the duodenum', '1': 'Distal ileum', '2': 'Proximal jejunum', '3': 'Pancreatic duct'}",Distal ileum,1,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Gallstone', 'R3': 'leads to', 'B': 'obstruction at the distal ileum'},
    },
}
```",Rule1,1
29,16383,The presence of basal folds in the epithelial cells is related to:,"{'0': 'Capture of signals.', '1': 'Secretory activity.', '2': 'Ion transport', '3': 'Adhesion to connective tissue.'}",Ion transport,2,"```json
{
    'option': 2,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'presence of basal folds in the epithelial cells', 'R3': 'related to', 'B': 'Ion transport'},
    },
}
```",Rule1,2
30,16407,A patient with Hb 7 was to be transfused with 2 packs of blood. The first pack was transfused in 2 hours after which vitals were stable and then the transfusion of the next pack was staed . But suddenly the patient develops breathlessness and hypeension. What can be the cause of this sudden reaction?,"{'0': 'transfusion related circulatory overload (TACO)', '1': 'allergic reaction to transfused blood', '2': 'transfusion related acute lung injury (TRALI)', '3': 'transfusion related acute renal failure'}",transfusion related acute lung injury (TRALI),2,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'transfusion', 'R3': 'leads to', 'B': 'transfusion related circulatory overload (TACO)'},
    },
}
```",Rule1,0
31,16427,"Statement 1:  It is not advisable to consider permanent crowning until the child is 17 years. 
 Statement 2:   This is because the development of the dentofacial structures would not be complete by  then.","{'0': 'Both the statements are true', '1': 'Both the statements are false', '2': 'The first statement is true and the second is false', '3': 'The first statement is false and the second is true'}",Both the statements are true,0,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'development of the dentofacial structures', 'R3': 'leads to', 'B': 'advisability of permanent crowning'},
    },
}
```",Rule1,0
32,16488,Question linked to image no. 1 An 82-year-old man with a history of dilated cardiomyopathy came to the emergency room for recurrent syncope in the last week. An electrocardiogram is performed that shows:,"{'0': 'Blocking of right branch with posterior hemiblock.', '1': 'Blocking of right branch with anterior hemiblock.', '2': 'Complete block left branch.', '3': 'Blocking of right branch.'}",Blocking of right branch with anterior hemiblock.,1,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Dilated cardiomyopathy', 'R3': 'leads to', 'B': 'Blocking of right branch with posterior hemiblock'},
    },
}
```",Rule1,0
33,16498,"An 8-year-old boy, because the gums black, examination revealed decreased cortisol, ACTH rise, the diagnosis of Addison's disease. Children with supplement regular cortisone acetate, but a year and a half after treatment and found that the phenomenon of regression of learning, and walking is not very stable. The following diagnostic follow-up found that what works best is unreasonable?","{'0': 'Brain MRI examination revealed white matter degeneration phenomenon', '1': 'Very long chain fatty acid blood analysis result is not normal', '2': '4-year-old boy brother diseased', '3': 'Family history analysis found that paternal relatives also have a boy onset'}",Family history analysis found that paternal relatives also have a boy onset,3,"```json
{
    'option':  '0',
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Addison\'s disease', 'R3': 'leads to', 'B': 'white matter degeneration'},
    },
}
```",Rule1,
34,16512,Multiple episodes of acute chest syndrome are associated with,"{'0': 'Asthma', '1': 'Bronchieactasis', '2': 'SLE', '3': 'Sjogrens syndrome'}",Asthma,0,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Multiple episodes of acute chest syndrome', 'R10': 'associated with', 'B': 'Bronchiectasis'},
    },
}
```",Rule1,1
35,16561,"And following a variety of sensory receptors, whichever is least likely to occur because of continued stimulus conduction acclimation (adaptation)?","{'0': '壓覺；pacinian corpuscles', '1': 'Proprioception; muscle spindles', '2': 'Sense of smell; olfactory receptor cells', '3': 'Auditory; hair cell receptors'}",Proprioception; muscle spindles,1,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'continued stimulus conduction', 'R3': 'leads to', 'B': 'acclimation (adaptation)'},
    },
}
```",Rule1,1
36,16596,"A 24-year-old woman who is 16 weeks pregnant comes to your office requesting a referral for an abortion. Upon questioning she states that she is scared that her baby will be ""deformed"" because on routine screening she was found to have an elevated level of alpha-fetoprotein. What is the most likely cause of this lab abnormality in this patient?","{'0': 'Trisomy 13', '1': 'Trisomy 18', '2': 'Trisomy 21', '3': 'Inaccurate gestational age'}",Inaccurate gestational age,3,"```json
{
    'option': 3,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Inaccurate gestational age', 'R3': 'leads to', 'B': 'elevated level of alpha-fetoprotein'},
    },
}
```",Rule1,3
37,16600,A 33-year-old G2P1 woman presents to the office because of poor diabetic control. She is currently at 18 weeks gestation and admits to having poor control of her type 1 diabetes before becoming pregnant. Her family history is non-contributory. The physical examination shows a pregnant woman with a fundal height of 20 cm (7.9 in). An abdominal ultrasound is ordered. Which of the following is the most likely congenital abnormality shown on the ultrasound?,"{'0': 'Amelia', '1': 'Sacral agenesis', '2': 'Spina bifida', '3': 'Ventricular septal defect'}",Ventricular septal defect,3,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Poor diabetic control', 'R3': 'leads to', 'B': 'Sacral agenesis'},
    },
}
```",Rule1,1
38,16619,"From the previous question, following the four most likely diagnosis Why?","{'0': 'cystic adenomatoid malformation of lung', '1': 'choroid plexus cyst', '2': 'cystic hygroma', '3': 'multicystic dysplastic kidney'}",choroid plexus cyst,1,"```json
{
    'option': 2,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'cystic hygroma', 'R3': 'associated with', 'B': 'four most likely diagnosis'},
    },
}
```",Rule1,2
39,16633,Which of the following diseases is NOT associated with intestinal bacterial overgrowth?,"{'0': 'Celiac Disease.', '1': 'Systemic sclerosis', '2': 'Jejunal diverticuli.', '3': 'Radiation enteritis.'}",Celiac Disease.,0,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Celiac Disease', 'R10': 'associated with', 'B': 'intestinal bacterial overgrowth'},
    },
}
```",Rule1,0
40,16680,"Question linked to image nº19 Patient who reports recurrent lumbar pain, with irradiation to the inguinal area and left hip. The findings on the radiograph shown suggest a diagnosis of:","{'0': 'Herniated disc pathology.', '1': 'Spondylodiscitis.', '2': 'Retroperitoneal mass, probably liposarcoma.', '3': 'Xanthogranulomatous pyelonephritis (due to lithiasic obstruction).'}",Xanthogranulomatous pyelonephritis (due to lithiasic obstruction).,3,"```json
{
    'option': 3,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'lithiasic obstruction', 'R7': 'due to', 'B': 'Xanthogranulomatous pyelonephritis'},
    },
}
```",Rule1,3
41,16691,"A 21-year-old man comes to the emergency room with swelling and severe pain in his left lower leg that started 2 hours ago. He has no history of serious illness or trauma. His father has a history of pulmonary embolism. He has smoked one pack of cigarettes daily since he started college 3 years ago. He appears very distressed. He is 173 cm (5 ft 8 in) tall and weighs 92 kg (203 lb); BMI is 30.7 kg/m2. His temperature is 37°C (98.6°F), pulse is 94/min, respirations are 17/min, and blood pressure is 130/78 mm Hg. Physical examination shows a tender and mildly swollen left lower leg; dorsiflexion of the left foot causes severe pain in the calf. Laboratory studies show a platelet count of 184,000/mm3, a prothrombin time of 11 seconds, an activated partial thromboplastin time of 26 seconds, and positive fibrin split products. Ultrasonography of the left leg shows incompressibility of the popliteal vein with a hyperechoic mass and absent blood flow. The patient is administered a 5000 IU intravenous bolus of unfractionated heparin followed by a constant infusion. Six hours later, the activated partial thromboplastin time is 30 seconds. Which of the following is the most likely cause of this patient's symptoms?","{'0': 'Antithrombin III deficiency', '1': 'Factor V Leiden', '2': 'Protein C deficiency', '3': 'Antiphospholipid syndrome'}",Antithrombin III deficiency,0,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Factor V Leiden', 'R3': 'leads to', 'B': 'this patient\'s symptoms'},
    },
}
```",Rule1,1
42,16701,One of the factors related to the pathogenesis of Tourette syndrome is:,"{'0': 'A lower response of the adrenocorticotropic hormone (ACTH).', '1': 'Increased levels of IgG3 and IgA antibodies.', '2': 'The insufficient supply of oxygen and nutrients in the first stages of life.', '3': 'Low sensitivity of the hypothalamohypophysis-adrenal axis.'}",The insufficient supply of oxygen and nutrients in the first stages of life.,2,"```json
{
    'option': 3,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Low sensitivity of the hypothalamohypophysis-adrenal axis', 'R3': 'leads to', 'B': 'pathogenesis of Tourette syndrome'},
    },
}
```",Rule1,3
43,16722,Stress breakers are not used in partial denture construction because:,"{'0': 'They are expensive', '1': 'Increase the vertical dimension', '2': 'They are difficult to design and fabricate', '3': 'Harmful effect on the abutment'}",They are difficult to design and fabricate,2,"```json
{
    'option': 3,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Stress breakers', 'R4': 'affects', 'B': 'abutment negatively'},
    },
}
```",Rule1,3
44,16735,"A 12-year-old girl brought to the clinic by her mother has a 3-day history of fever and sore throat and hematuria since this morning. The patient’s mother says she had a fever up to 39.5℃ (103.1℉) for the last 3 days and a severe sore throat, which has improved slightly. The mother states that she noticed her daughter had red urine today. The patient’s temperature is 39.3℃ (102.8℉), pulse is 89/min, respiratory rate is 25/min, and blood pressure is 109/69 mm Hg. On physical examination, her pharynx is erythematous. There is significant swelling of the tonsils bilaterally, and there is a white exudate covering them. Ophthalmologic examination reveals evidence of conjunctivitis bilaterally. Otoscopic examination is significant for gray-white tympanic membranes bilaterally. The remainder of the exam is unremarkable. A urine dipstick is performed and shows the following results:
Urine Dipstick
Specific Gravity 1.019
Glucose None
Ketones None
Nitrites Negative
Leukocyte Esterase Negative
Protein None
Blood 3+
 Which of the following microorganisms is the most likely cause of this patient’s symptoms?","{'0': 'Streptococcus pyogenes', '1': 'Adenovirus', '2': 'Escherichia coli O157:H7', '3': 'Proteus mirabilis'}",Adenovirus,1,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Streptococcus pyogenes', 'R3': 'leads to', 'B': 'sore throat and hematuria'},
    },
}
```",Rule1,0
